School Name,School State,Zip Code,School Locale,Rate of Full Time Faculty,Faculty Avg. Salary,Enrollment Size,Percent Males,Percent Females,4 Year Retention Rate,Median Househould Income,Avg. Age of Entry,Admission Rate,Avg. Cost,Percent that Received Pell Grant,Percent of Undergraduates that Receive Federal Loan,150% 4 Year Completion Rate (Pooled),Percent Repaying Not in Default 5 Years,Three Year Default Rate,Undergraduate Federal Loan Repayment Rate,Catholic,Average Net Price,Out-In State Tuition Ratio,Debt to Earnings Ratio,Male to Female Ratio,Cluster (hier)
Alabama A & M University,AL,35762,12,0.711,7709,5271,0.3967,0.6033,0.5689,49720,20,0.9175,23053,0.7019,0.7361,0.2844,0.3311258278,0.176,1.0950661696,0,14990,1.8589385475,1.3140152453,0.6575501409,1
University of Alabama at Birmingham,AL,35294-0110,12,0.7754,11049,13328,0.389,0.611,0.831,55735,23,0.7366,24495,0.3512,0.4798,0.609,0.5710577547,0.063,1.0140469108,0,16953,2.380952381,0.7988933816,0.6366612111,20
University of Alabama in Huntsville,AL,35899,12,0.6434,9688,7785,0.581,0.419,0.8291,58688,22,0.8257,23917,0.2536,0.3976,0.5483,0.5883111302,0.065,0.9770979886,0,15860,2.1145477432,0.6668383584,1.3866348449,22
Alabama State University,AL,36104-0271,12,0.6501,7221,3750,0.3691,0.6309,0.6127,46065,20,0.969,21866,0.7627,0.8232,0.3142,0.2897054358,0.18,1.0949947121,0,13650,1.7524394651,1.4025682583,0.5850372484,1
The University of Alabama,AL,35487-0100,12,0.7604,10291,31900,0.4451,0.5549,0.8693,57928,21,0.8268,29872,0.1772,0.3802,0.7149,0.6358131488,0.054,0.9802635546,0,22597,2.806122449,0.6445375443,0.8021265093,26
Auburn University at Montgomery,AL,36117-3596,12,0.9745,7927,4407,0.356,0.644,0.6589,50723,22,0.9044,19849,0.4644,0.5391,0.3391,0.4601834862,0.109,1.0401787056,0,13987,2.1220417633,0.8937354543,0.5527950311,24
Auburn University,AL,36849,13,0.8751,10738,24209,0.5171,0.4829,0.9136,59005,20,0.8067,31590,0.1455,0.3052,0.7861,0.7806225824,0.029,0.9398094355,0,24104,2.7083188305,0.587954262,1.0708221164,26
Birmingham-Southern College,AL,35254,12,0.6839,6294,1205,0.4739,0.5261,0.7988,64789,19,0.5381,32095,0.2357,0.4666,0.6858,0.7704918033,0.037,0.9590129906,0,22107,1,0.6405514525,0.9007793195,12
South University-Montgomery,AL,36116,12,0.1053,4826,251,0.1912,0.8088,0.2,55764,30,0.7340111815,28258,0.6137,0.648,0.0959,0.2736477659,0.118,1.051825973,0,20384,1,1.0215200218,0.2363996044,2
Faulkner University,AL,36109-3390,12,0.5053,6001,1928,0.4123,0.5877,0.6102,52330,28,0.7833,34317,0.4881,0.6096,0.3019,0.3972296693,0.098,1.0517107179,0,20715,1,0.9389152319,0.7015484091,3
